Field Label	Class Type	GECKO Label	Definition	Comment																			
AlcStartAge_1	subclass	alcohol	Specifies the participant used alcohol From Age, first history																				
AlcEndAge_1	subclass	alcohol	Specifies the participant used alcohol To Age, first history																				
AlcType_1	subclass	alcohol	Specifies the participant alcohol used Type, first history																				
AlcQuantityPerEpisode_1	subclass	alcohol	Specifies the average alcohol the participant used per episode, first history																				
AlcEpisodesPerMonth_1	subclass	alcohol	Specifies the participant Alcohol episodes in month, first history																				
AlcStartAge_2	subclass	alcohol	Specifies the participant used alcohol From Age, second history																				
AlcEndAge_2	subclass	alcohol	Specifies the participant used alcohol To Age, second history																				
AlcType_2	subclass	alcohol	Specifies the participant alcohol used Type, second history																				
AlcQuantityPerEpisode_2	subclass	alcohol	Specifies the average alcohol the participant used per episode, second history																				
AlcEpisodesPerMonth_2	subclass	alcohol	Specifies the participant Alcohol episodes in month, second history																				
AlcStartAge_3	subclass	alcohol	Specifies the participant used alcohol From Age, third history																				
AlcEndAge_3	subclass	alcohol	Specifies the participant used alcohol To Age, third history																				
AlcType_3	subclass	alcohol	Specifies the participant alcohol used Type, third history																				
AlcQuantityPerEpisode_3	subclass	alcohol	Specifies the average alcohol the participant used per episode, third history																				
AlcEpisodesPerMonth_3	subclass	alcohol	Specifies the participant Alcohol episodes in month, third history																				
DrugCurrentuse	subclass	medication history	Currently taking any medication?																				
antiHTN	subclass	history of medication for hypertension	Anti-hypertensive drugs: 1: diuretics 2: beta-blockers 3: ACE Inhibitors 4: ARBs 5: Alpha-adrenergic blockers 6: Calcium channel blockers 7:other anti-hypertensives																				
antiDM	subclass	history of medication for diabetes	Anti-diabetic drugs: 1: Glibenclamide 2: metformin 3: insulin 4: other																				
cardiac	subclass	history of medication for cardiac disease	Cardiac drugs: 1: Anti-platelets 2: statins 3: Beta-blockers 4: Nitrates 5: ACE Inhibitors 6: ARBs 7: Calcium Channel blockers 8: other																				
antilipid	subclass	history of medication for high cholesterol	Lipid-lowering drugs: 1: Statins 2: Gemfibrozil 3: other																				
mentaldrug	subclass	history of medication for mental disorder	Mental disorders: 1: Benzodiazepines 2: Sodium Valproate 3: Anti-epileptics 4: Antidepressants 5: Anti-anxiety medications 6: Psychoactive medications																				
Corticosteroid	subclass	use of corticosteroids	Corticosteroids: 1: injection 2: oral 3: topical																				
Gidrugs	subclass	history of medication for gastrointestinal disease	Gastrointestinal: 1: H2 Blockers 2: PPIs 3: Clindinium C																				
antibiotics	subclass	use of antibiotics	Antibiotics: 1: Amoxicillin 2: Cefixime 3: Azithromycin 4: Metronidazole 5: other																				
diuretic	subclass	use of diuretics	Diuretics																				
betablocker	subclass	use of beta blockers	Beta Blockers																				
ACEinhibitor	subclass	use of angiotensin convertin enzyme inhibitors	Angiotensin Converting Enzyme Inhibitors																				
ARB	subclass	use of angiotensin receptor blockers	Angiotensin Receptor Blockers																				
alphablocker	subclass	use of alpha adrenergic blockers	Alpha Adrenergic Blockers																				
CCBlocker	subclass	use of calcium channel blockers	Calcium Channel Blockers																				
Glibenclamide	subclass	use of glibenclamide	Glibenclamide																				
Metformin	subclass	use of metformin	Metformin																				
Insulin	subclass	use of insulin	Insulin																				
Antiplatelets	subclass	use of antiplatelets	Anti-platelets																				
Statins	subclass	use of statins	Statins																				
Nitrates	subclass	use of nitrates	Nitrates																				
Gemfibrozil	subclass	use of gemfibroxil	Gemfibrozil																				
Acetaminophen	subclass	use of acetaminophen	Acetaminophen and Acetaminophen Codein																				
Ibuprofen	subclass	use of ibuprofen	Ibuprofen																				
Diclophenac	subclass	use of diclophenac	Diclophenac																				
Indomethacin	subclass	use of indomethacin	Indomethacin																				
Levothyroxin	subclass	use of levthyroxine	Levthyroxin																				
Methotrexate	subclass	use of methotrexate	Methotrexate																				
Other	subclass	medication history	Other																				
DrugCurrentuse	subclass	medication history	Currently taking any medication?																				
drugname_1	subclass	medication history	Name of drug 1	Could name fall under "prescription"?																			
drugduration_1	subclass	medication history	Number of years being under treatment 1																				
drugfrequency_1	subclass	posology	Frequency of drug consumption 1																				
drugdose_1	subclass	posology	Dose of drug consumed 1																				
drugname_2	subclass	medication history	Name of drug 2																				
drugduration_2	subclass	medication history	Number of years being under treatment 2																				
drugfrequency_2	subclass	posology	Frequency of drug consumption 2																				
drugdose_2	subclass	posology	Dose of drug consumed 2																				
drugname_3	subclass	medication history	Name of drug 3																				
drugduration_3	subclass	medication history	Number of years being under treatment 3																				
drugfrequency_3	subclass	posology	Frequency of drug consumption 3																				
drugdose_3	subclass	posology	Dose of drug consumed 3																				
drugname_4	subclass	medication history	Name of drug 4																				
drugduration_4	subclass	medication history	Number of years being under treatment 4																				
drugfrequency_4	subclass	posology	Frequency of drug consumption 4																				
drugdose_4	subclass	posology	Dose of drug consumed 4																				
drugname_5	subclass	medication history	Name of drug 5																				
drugduration_5	subclass	medication history	Number of years being under treatment 5																				
drugfrequency_5	subclass	posology	Frequency of drug consumption 5																				
drugdose_5	subclass	posology	Dose of drug consumed 5																				
drugname_6	subclass	medication history	Name of drug 6																				
drugduration_6	subclass	medication history	Number of years being under treatment 6																				
drugfrequency_6	subclass	posology	Frequency of drug consumption 6																				
drugdose_6	subclass	posology	Dose of drug consumed 6																				
drugname_7	subclass	medication history	Name of drug 7																				
drugduration_7	subclass	medication history	Number of years being under treatment 7																				
drugfrequency_7	subclass	posology	Frequency of drug consumption 7																				
drugdose_7	subclass	posology	Dose of drug consumed 7																				
drugname_8	subclass	medication history	Name of drug 8																				
drugduration_8	subclass	medication history	Number of years being under treatment 8																				
drugfrequency_8	subclass	posology	Frequency of drug consumption 8																				
drugdose_8	subclass	posology	Dose of drug consumed 8																				
drugname_9	subclass	medication history	Name of drug 9																				
drugduration_9	subclass	medication history	Number of years being under treatment 9																				
drugfrequency_9	subclass	posology	Frequency of drug consumption 9																				
drugdose_9	subclass	posology	Dose of drug consumed 9																				
drugname_10	subclass	medication history	Name of drug 10																				
drugduration_10	subclass	medication history	Number of years being under treatment 10																				
drugfrequency_10	subclass	posology	Frequency of drug consumption 10																				
drugdose_10	subclass	posology	Dose of drug consumed 10																				
OralPermanentTeethLossFlag	subclass	oral health history	Permanent Teeth Loss																				
OralPermanentTeethAgeFirstLoss	subclass	oral health history	Specifies the age of first Permanent Teeth Loss																				
OralUpperDentureFlag	subclass	oral health history	Specifies the participant used Upper Denture																				
OralLowerDentureFlag	subclass	oral health history	Specifies the participant used Lower Denture																				
OralUpperDentureUse	subclass	oral health history	Specifies the participant used Upper Denture during the day																				
OralLowerDentureUse	subclass	oral health history	Specifies the participant used Lower Denture during the day																				
OralAgeDentureUpper	subclass	oral health history	Specifies the age of participant first used Upper Denture																				
OralAgeDentureLower	subclass	oral health history	Specifies the age of participant First used Lower Denture																				
OralFreqBrushing	subclass	oral health history	Specifies the participant Brushing Frequency																				
OralFoodDiscomfortFlag	subclass	oral health history	Specifies the frequency the participant experienced discomfort while eating food in Past Year																				
OralFoodDiscomfortType	subclass	oral health history	Specifies the food that caused discomfort for the participant																				
OralNumTeeth	subclass	oral health history	Specifies the participant Total number of teeth																				
OralNumTeethDecayed	subclass	oral health history	Specifies the participant Total number of Decayed teeth																				
OralNumTeethMissing	subclass	oral health history	Specifies the participant Total number of Missing teeth																				
OralNumTeethFilled	subclass	oral health history	Specifies the participant Total number of Filled teeth																				
OralMucosa	subclass	oral health history	Specifies the participant Mucosa Status																				
TeaTempDegrees		information about diet	Specifies participant consumption of tea temperature	is this diet?																			
TeaTempDescription		information about diet	Specifies participant used tea type																				
TeaSteepingTime		information about diet	Specifies the duration between pouring and drinking the tea																				
TeaSipOrGulp		information about diet	Specifies how participant drinks tea																				
physactworkallyearflag	subclass	occupation|physical activity	Working all months of the year?																				
physactworkmonths	subclass	occupation|physical activity	Number of working months in a year																				
physactworkstrenuousflag	subclass	physical activity	Daily intensive physical activity?																				
physactworkstrenuousfreq	subclass	physical activity	Number of working days in a week																				
physactworkstrenuoushours	subclass	physical activity	Number of working hours in a day																				
physactworkstrenuousyears	subclass	physical activity	Number of entire working years																				
physacthouseworkflag	subclass	physical activity	Doing house work?																				
physacthouseworkfreq	subclass	physical activity	Number of working days in a week																				
physacthouseworkhours	subclass	physical activity	Number of working hours in a day																				
physacthouseworkyears	subclass	physical activity	Number of entire working years																				
physacthouseworkminsduringwork	subclass	physical activity	Doing house work: minutes during working times																				
physacthouseworkminsnowork	subclass	physical activity	Doing house work: minutes during leasure times																				
physactexmildminsduringwork	subclass	physical activity	Mild exercise such as jogging: minutes during working times																				
physactexmildminsnowork	subclass	physical activity	Mild exercise such as jogging: minutes during leasure times																				
physactexmodminsduringwork	subclass	physical activity	Moderate exercise such as volleyball: minutes during working times																				
physactexmodminsnowork	subclass	physical activity	Moderate exercise such as volleyball: minutes during leasure times																				
physactexstrenminsduringwork	subclass	physical activity	Intensive exercise such as horse riding: minutes during working times																				
physactexstrenminsnowork	subclass	physical activity	Intensive exercise such as horse riding: minutes during leasure times																				
physacttvminsduringwork	subclass	physical activity	Watching TV, resting, reading: minutes during working times																				
physacttvminsnowork	subclass	physical activity	Watching TV, resting, reading: minutes during leasure times																				
Metabolic Equivalent Task	subclass	physical activity	Energy cost of physical activities defined as the ratio of metabolic rate (and therefore the rate of energy consumption) during a specific physical activity to a reference metabolic rate																				
AnimalStartAge_1		lifestyle and behaviours	Specifies the age of the participants he had contact with animals, first history	not sure if this is correct - do we want to be more specific?																			
AnimalEndAge_1		lifestyle and behaviours	Specifies the age of the participants he didn't have contact with animals, first history																				
AnimalLevelOfContact_1		lifestyle and behaviours	The intensity of animal contact, first history																				
AnimalType_1		lifestyle and behaviours	The type of animal, first history																				
AnimalStartAge_2		lifestyle and behaviours	Specifies the age of the participants he had contact with animals, second history																				
AnimalEndAge_2		lifestyle and behaviours	Specifies the age of the participants he didn't have contact with animals, second history																				
AnimalLevelOfContact_2		lifestyle and behaviours	The intensity of animal contact, second history																				
AnimalType_2		lifestyle and behaviours	The type of animal, second history																				
AnimalStartAge_3		lifestyle and behaviours	Specifies the age of the participants he had contact with animals, third history																				
AnimalEndAge_3		lifestyle and behaviours	Specifies the age of the participants he didn't have contact with animals, third history																				
AnimalLevelOfContact_3		lifestyle and behaviours	The intensity of animal contact, third history																				
AnimalType_3		lifestyle and behaviours	The type of animal, third history																				
AnimalStartAge_4		lifestyle and behaviours	Specifies the age of the participants he had contact with animals, fourth history																				
AnimalEndAge_4		lifestyle and behaviours	Specifies the age of the participants he didn't have contact with animals, fourth history																				
AnimalLevelOfContact_4		lifestyle and behaviours	The intensity of animal contact, fourth history																				
AnimalType_4		lifestyle and behaviours	The type of animal, fourth history																				
bodyindicessizeage15	subclass	anthropometry	The body size participants assume they have had based on pictogram when they were 15 years old																				
bodyindicessizeage30	subclass	anthropometry	The body size participants assume they have had based on pictogram when they wer3 30 years old																				
bodyindicessizenow	subclass	anthropometry	The body size participants assume they have at the present time based on pictogram																				
bodyindicesheight	equivalent	height	Height																				
bodyindicesweight	equivalent	weight	Weight																				
bodyindiceswaist	equivalent	waist circumference value	Waist circumference																				
bodyindiceships	equivalent	hip circumference value	Hip circumference																				
BMI	equivalent	body mass index value	Body mass index																				
bpright1sbp	subclass	systolic blood pressure value	First measurement of systolic blood pressure from the right arm																				
bpright1dbp	subclass	diastolic blood pressure value	First measurement ofdiastolic blood pressure from the right arm																				
bpright2sbp	subclass	systolic blood pressure value	Second measurement of systolic blood pressure from the right arm																				
bpright2dbp	subclass	diastolic blood pressure value	Second measurement of diastolic blood pressure from the right arm																				
bpleft1sbp	subclass	systolic blood pressure value	First measurement of systolic blood pressure from the left arm																				
bpleft1dbp	subclass	diastolic blood pressure value	First measurement of diastolic blood pressure from the left arm																				
bpleft2sbp	subclass	systolic blood pressure value	Second measurement of systolic blood pressure from the left arm																				
bpleft2dbp	subclass	diastolic blood pressure value	Second measurement of diastolic blood pressure from the left arm																				
m_sbp	subclass	systolic blood pressure value	Mean systolic blood pressure measured second time																				
m_dbp	subclass	diastolic blood pressure value	Mean diastolic blood pressure measured second time																				
high_sbp	subclass	systolic blood pressure value	Systolic blood pressure >= 140 mmHg	also high BP																			
high_dbp	subclass	diastolic blood pressure value	Diastolic blood pressure >= 90 mmHg	also high BP																			
htndrug		use of antihypertensive agents	Consumption of any anti-hypertensive medication for more than 6 months																				
HTN		diagnosis of hypertension	Being hypertensive																				
HTNcat		diagnosis of hypertension	Categorization of hypetrension																				
preHTN		diagnosis of hypertension	SBP/DBP >=120/80 AND <140/90	how do we handle prehypertension?																			
pulse_p		calculated blood pressure value	Difference between SBP and DBP																				
mean_bp		calculated blood pressure value	mean value of SBP and DBP																				
mid_bp		calculated blood pressure value	Mid value of SBP and DBP																				
diffsbp_right_left		systolic blood pressure value	Difference in SBP between arms																				
diffdbp_right_left		diastolic blood pressure value	Difference in DBP between arms																				
Energy		information about diet	Amount consumed per day	do we want to be more specific?																			
fat		information about diet	Amount consumed per day																				
salt		information about diet	Amount consumed per day																				
protein		information about diet	Amount consumed per day																				
total saturated fat		information about diet	Amount consumed per day																				
total trans fat		information about diet	Amount consumed per day																				
hydrogenated oil		information about diet	Amount consumed per day																				
carbohyderate		information about diet	Amount consumed per day																				
red meat		information about diet	Amount consumed per day																				
processed meat		information about diet	Amount consumed per day																				
fruits		information about diet	Amount consumed per day																				
vegetables		information about diet	Amount consumed per day																				
dairy products		information about diet	Amount consumed per day																				
milk		information about diet	Amount consumed per day																				
dietary fiber		information about diet	Amount consumed per day																				
Fish		information about diet	Amount consumed per day																				
Chicken		information about diet	Amount consumed per day																				
SodiumNa		information about diet	Amount consumed per day																				
Calcium		information about diet	Amount consumed per day																				
Fe		information about diet	Amount consumed per day																				
Magnesium		information about diet	Amount consumed per day																				
Phosphorus		information about diet	Amount consumed per day																				
Potassium		information about diet	Amount consumed per day																				
Zinc		information about diet	Amount consumed per day																				
Folate		information about diet	Amount consumed per day																				
Vitamin D		information about diet	Amount consumed per day																				
Vitamin A		information about diet	Amount consumed per day																				
Vitamin B1		information about diet	Amount consumed per day																				
Vitamin B2		information about diet	Amount consumed per day																				
Vitamin B12		information about diet	Amount consumed per day																				
Vitamin C		information about diet	Amount consumed per day																				
Niacin		information about diet	Amount consumed per day																				
Glycemic load		information about diet	Amount consumed per day																				
Glycemic Index		information about diet	Amount consumed per day																				
Sugar intake		information about diet	Amount consumed per day																				
Nuts		information about diet	Amount consumed per day																				
tea		information about diet	Amount consumed per day																				
Coffee		information about diet	Amount consumed per day																				
fbg	equivalent	blood fasting glucose level value	Fasting Blood Glucose																				
urea			Urea																				
creatinine			Creatinine																				
cholesterol			Total Cholesterol																				
triglycerides			Triglycerides																				
hdl			High Density Lipoprotein																				
ast			Aspartate Transaminase																				
alt			Alanine Transaminase																				
alkalinep			Alkaline Phosphatase																				
ldl			Low Density Lipoprotein																				
ldlhdl			LDL to HDL ratio																				
gamma			Gamma Glutamyle Transpeptidase																				
hbsag			HBsAg																				
hbsab			HBsAb																				
hbcab			HBcAb																				
hbv			HBV DNA																				
hcv			HCV Antibody																				
wbc			White Blood Cell																				
rbc			Red Blood Cell																				
hb			Hemoglobin																				
hct			Hematocrit																				
plt		plateletcrit value	Platelet	maybe? not sure if this is the same																			
mcv			Mean Corpuscular Volume																				
mch			Mean Corpuscular Hemoglobin																				
mchc			Mean Corpuscular Hemoglobin Concentration																				
rdw	equivalent	red blood cell distribution width value	Red Cell Distribution Width																				
BloodType	equivalent	blood type determination value	Specifies patient Blood Group																				
Rh	equivalent	rheumatoid factor measurement value	Specifies patient Blood Rh																				
BioSampHairAvailFlag			if patient has hair sample select YES if not Selct No																				
BioSampNailAvailFlag			if patient has nail sample select YES if not Selct No																				
BioSampBloodAvailFlag	equivalent	blood	if patient has Blood sample select YES if not Selct No																				
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
