"ID","Field Label","Class Type","GECKO Label","Definition","Comment",,,,,,,,,,,,,,,,,,,
"ID",,"CLASS_TYPE","C % SPLIT=|",,,,,,,,,,,,,,,,,,,,,
"GCS:ID","Identity",,"GCS","Identity and contact information",,,,,,,,,,,,,,,,,,,,
"GCS:DEMO","Demographic Info","equivalent","demographic data","Demographic characteristics: sex, age, ethnicity, marital status, education",,,,,,,,,,,,,,,,,,,,
"GCS:FAM","Family members","subclass","family and household structure","Characteristics of relatives in the household",,,,,,,,,,,,,,,,,,,,
"GCS:RESID","Residence","equivalent","residence","The residential area (urban/rural), structure of the house, and duration of residing in the house",,,,,,,,,,,,,,,,,,,,
"GCS:SOURCE","Water and fuel source",,"GCS","Water source, heat and fuel system, and cooking method",,,,,,,,,,,,,,,,,,,,
"GCS:JOB","Job","equivalent","occupation","The names of all jobs the participant has had and the duration of work",,,,,,,,,,,,,,,,,,,,
"GCS:FOOD","Food preservation and cooking",,"GCS","Food preservation, frying, boiling, BBQ, steaming, …",,,,,,,,,,,,,,,,,,,,
"GCS:PROP","Properties",,"GCS","Transferable and non-transferable belongings and wealth score (Multiple Correspondence Analysis)",,,,,,,,,,,,,,,,,,,,
"GCS:MED","Medical History","equivalent","clinical history","Suffering from any disease at the baseline of cohort",,,,,,,,,,,,,,,,,,,,
"GCS:CC","Chief complaints",,"GCS","The complaints of participants from their physical or mental sufferings",,,,,,,,,,,,,,,,,,,,
"GCS:CANCER","Cancer History","equivalent","clinical history of cancer","History of cancer, site, and age diagnosed in the participant or any of his/her relatives",,,,,,,,,,,,,,,,,,,,
"GCS:SMOK","Smoking","equivalent","tobacco","Ever or current smoker, age of use, type, number per day and days per week",,,,,,,,,,,,,,,,,,,,
"GCS:OPIUM","Opium use","equivalent","opiate use history","Ever or current user, age and route of use, type, time per day and days per week",,,,,,,,,,,,,,,,,,,,
"GCS:ALC","Alcohol use","equivalent","alcohol","Ever or current user, age of use, type, quantity per episode and episodes per month",,,,,,,,,,,,,,,,,,,,
"GCS:DRUGCAT","Drug history (1)","equivalent","recreational drug use history","The main created categories of drugs consumed by participants",,,,,,,,,,,,,,,,,,,,
"GCS:DRUGDETAIL","Drug History (2)","equivalent","recreational drug use history","The exact name, duration, dose, and frequency of drugs consumed",,,,,,,,,,,,,,,,,,,,
"GCS:ORAL","Oral health","equivalent","oral health history","Decayed, filled, and missing teeth along with the age of the participant in each of these occasions",,,,,,,,,,,,,,,,,,,,
"GCS:TEA","Tea",,"GCS","Tea temperature, type of tea, and type of habit for drinking the tea",,,,,,,,,,,,,,,,,,,,
"GCS:ACTIVITY","Physical activity","equivalent","physical activity","The duration and intensity of physical activities during working and leasure times of the day, and Metabolic Equivalent Task (MET)",,,,,,,,,,,,,,,,,,,,
"GCS:ANIMAL","Animal contact",,"GCS","The age of the participant in contact with animals, the duration and intensity of animal contact, and the type of animal",,,,,,,,,,,,,,,,,,,,
"GCS:ANTHRO","Anthropometric measurements","equivalent","anthropometry","Physically measured height, weight, waist circumference, hip circumference and data of pictogram",,,,,,,,,,,,,,,,,,,,
"GCS:BP","Blood pressure measurements","equivalent","blood pressure","Both systolic and diastolic blood pressure measured in sitting position twice from each arm",,,,,,,,,,,,,,,,,,,,
"GCS:FFQ","Food Frequency Questionnaire","equivalent","Food Frequency Questionnaire result","Units of food categories consumed per day",,,,,,,,,,,,,,,,,,,,
"GCS:LAB","Lab markers",,"GCS","Biochemical markers",,,,,,,,,,,,,,,,,,,,
"GCS:PID","PID",,,"The Unique Id for eatch participant",,,,,,,,,,,,,,,,,,,,
"GCS:FirstName","FirstName",,,"The first name of participant.",,,,,,,,,,,,,,,,,,,,
"GCS:LastName","LastName",,,"The last name of participant.",,,,,,,,,,,,,,,,,,,,
"GCS:Province","Province","subclass","residence","Specifies the participant Province of Residence",,,,,,,,,,,,,,,,,,,,
"GCS:District","District","subclass","residence","Specifies the participant District of Residence",,,,,,,,,,,,,,,,,,,,
"GCS:City","City","subclass","residence","Specifies the participant City of Residence",,,,,,,,,,,,,,,,,,,,
"GCS:Subdistrict","Subdistrict","subclass","residence","Specifies the participant Subdistrict of Residence",,,,,,,,,,,,,,,,,,,,
"GCS:Village","Village","subclass","residence","Specifies the participant Village of Residence",,,,,,,,,,,,,,,,,,,,
"GCS:Street","Street","subclass","residence","Specifies the participant Street of Residence",,,,,,,,,,,,,,,,,,,,
"GCS:Alley","Alley","subclass","residence","Specifies the participant Alley of Residence",,,,,,,,,,,,,,,,,,,,
"GCS:CV name","CV name","subclass","residence","Specifies the names of cities or villages in one variable",,,,,,,,,,,,,,,,,,,,
"GCS:City_Village","City_Village","subclass","residence","Specifies residence in cities or villages",,,,,,,,,,,,,,,,,,,,
"GCS:HouseNumber","HouseNumber","subclass","residence","Specifies the participant's House Number of Residence",,,,,,,,,,,,,,,,,,,,
"GCS:ZipCode","ZipCode","subclass","residence","Specifies the participant's Zip Code of Residence",,,,,,,,,,,,,,,,,,,,
"GCS:HomePhone","HomePhone",,,"Specifies the participants Home Phone",,,,,,,,,,,,,,,,,,,,
"GCS:AreaCode","AreaCode",,,"Specifies the participant's home Phone Area Code",,,,,,,,,,,,,,,,,,,,
"GCS:CellPhone","CellPhone",,,"Specifies the participant's Cell phone number",,,,,,,,,,,,,,,,,,,,
"GCS:HealthCenter","HealthCenter",,,"participant related to this health center(the participant covered by this health center)",,,,,,,,,,,,,,,,,,,,
"GCS:FamilyMemPhone","FamilyMemPhone",,,"Specifies the phone number of one of participant's family members",,,,,,,,,,,,,,,,,,,,
"GCS:FamilyMemAreaCode","FamilyMemAreaCode",,,"Specifies the area code of the phone number of one of participant's family members",,,,,,,,,,,,,,,,,,,,
"GCS:FamilyMemName","FamilyMemName",,,"Specifies the name of one family member of the participant",,,,,,,,,,,,,,,,,,,,
"GCS:FriendName","FriendName",,,"Specifies the name of one of friends of the participant",,,,,,,,,,,,,,,,,,,,
"GCS:FriendProvince","FriendProvince",,,"Specifies the province in which the friend of the participant resides",,,,,,,,,,,,,,,,,,,,
"GCS:FriendDistrict","FriendDistrict",,,"Specifies the district in which the friend of the participant resides",,,,,,,,,,,,,,,,,,,,
"GCS:FriendCity","FriendCity",,,"Specifies the city in which the friend of the participant resides",,,,,,,,,,,,,,,,,,,,
"GCS:FriendSubdistrict","FriendSubdistrict",,,"Specifies the subdistrict in which the friend of the participant resides",,,,,,,,,,,,,,,,,,,,
"GCS:FriendVillage","FriendVillage",,,"Specifies the village in which the friend of the participant resides",,,,,,,,,,,,,,,,,,,,
"GCS:FriendStreet","FriendStreet",,,"Specifies the street in which the friend of the participant resides",,,,,,,,,,,,,,,,,,,,
"GCS:FriendAlley","FriendAlley",,,"Specifies the alley in which the friend of the participant resides",,,,,,,,,,,,,,,,,,,,
"GCS:FriendHouseNumber","FriendHouseNumber",,,"Specifies the house number in which the friend of the participant resides",,,,,,,,,,,,,,,,,,,,
"GCS:FriendZipCode","FriendZipCode",,,"Specifies the zip code in which the friend of the participant resides",,,,,,,,,,,,,,,,,,,,
"GCS:FriendHomePhone","FriendHomePhone",,,"Specifies the phone number of the participant's friend",,,,,,,,,,,,,,,,,,,,
"GCS:FriendAreaCode","FriendAreaCode",,,"Specifies the area code of the phone number of participant's friend",,,,,,,,,,,,,,,,,,,,
"GCS:FriendCellPhone","FriendCellPhone",,,"Specifies the cell phone number of participant's friend",,,,,,,,,,,,,,,,,,,,
"GCS:PlaceOfInterview","PlaceOfInterview",,,"Specifies the participant interview place",,,,,,,,,,,,,,,,,,,,
"GCS:InterviewPDate_Y","InterviewPDate_Y",,,"participant year of Interview date in Shamsi format",,,,,,,,,,,,,,,,,,,,
"GCS:InterviewPDate_M","InterviewPDate_M",,,"participant month of Interview date in Shamsi format",,,,,,,,,,,,,,,,,,,,
"GCS:InterviewPDate_D","InterviewPDate_D",,,"participant Day of Interview date in Shamsi format",,,,,,,,,,,,,,,,,,,,
"GCS:Gender","Gender","equivalent","gender","Specifies the participant Gender",,,,,,,,,,,,,,,,,,,,
"GCS:BdatePDate_Y","BdatePDate_Y","subclass","age/birthdate","Year of participant Birth date in Shamsi format",,,,,,,,,,,,,,,,,,,,
"GCS:BdatePDate_M","BdatePDate_M","subclass","age/birthdate","Month of participant Birth date in Shamsi format",,,,,,,,,,,,,,,,,,,,
"GCS:BdatePDate_D","BdatePDate_D","subclass","age/birthdate","Day of participant Birth date in Shamsi format",,,,,,,,,,,,,,,,,,,,
"GCS:Age_self","Age_self","subclass","age/birthdate","Specifies the self-report participant age in inteview time",,,,,,,,,,,,,,,,,,,,
"GCS:Age_new","Age_new","subclass","age/birthdate","Age calculated from birth date and interview date",,,,,,,,,,,,,,,,,,,,
"GCS:Ethnicity","Ethnicity","equivalent","ethnicity/race","Specifies the participant Ethnicity",,,,,,,,,,,,,,,,,,,,
"GCS:ethnicity_new","ethnicity_new","subclass","ethnicity/race","Specifies ethnicity by Turkmen or Non-turkmen",,,,,,,,,,,,,,,,,,,,
"GCS:MaritalStatus","MaritalStatus","equivalent","marital status value","Specifies the participant marital status",,,,,,,,,,,,,,,,,,,,
"GCS:marital_new","marital_new","subclass","marital status value","Specifies marital status into married or non-married",,,,,,,,,,,,,,,,,,,,
"GCS:Education","Education","equivalent","education","Specifies the participant Education Level",,,,,,,,,,,,,,,,,,,,
"GCS:FamilyInHousehold","FamilyInHousehold","subclass","family and household structure","Specifies the number of participant family living in the household",,,,,,,,,,,,,,,,,,,,
"GCS:BrothersN","BrothersN","subclass","family and household structure","Specifies participant No. of Brothers",,,,,,,,,,,,,,,,,,,,
"GCS:StepbrothersN","StepbrothersN","subclass","family and household structure","Specifies participant No. of Step brothers",,,,,,,,,,,,,,,,,,,,
"GCS:SistersN","SistersN","subclass","family and household structure","Specifies participant No. of Sisters",,,,,,,,,,,,,,,,,,,,
"GCS:Stepsisters","Stepsisters","subclass","family and household structure","Specifies participant No. of Step sisters",,,,,,,,,,,,,,,,,,,,
"GCS:Sons","Sons","subclass","family and household structure","Specifies participant No. of Sons",,,,,,,,,,,,,,,,,,,,
"GCS:Daughters","Daughters","subclass","family and household structure","Specifies participant No. of Daughters",,,,,,,,,,,,,,,,,,,,
"GCS:TwinYesNo","TwinYesNo","subclass","family and household structure","Specifies whether the participant has twin brother or sister",,,,,,,,,,,,,,,,,,,,
"GCS:TwinAlive","TwinAlive","subclass","family and household structure","Specifies whether the twin of the participant is alive",,,,,,,,,,,,,,,,,,,,
"GCS:ResDuration_1","ResDuration_1","subclass","residence","Specifies the participant first residence history Duration",,,,,,,,,,,,,,,,,,,,
"GCS:ResCitVill_1","ResCitVill_1","subclass","residence","Specifies the participant first residence history in Village or City",,,,,,,,,,,,,,,,,,,,
"GCS:ResDistrict_1","ResDistrict_1","subclass","residence","Specifies the participant first residence history District",,,,,,,,,,,,,,,,,,,,
"GCS:ResCitVillname_1","ResCitVillname_1","subclass","residence","Specifies the participant first residence history City or village name",,,,,,,,,,,,,,,,,,,,
"GCS:ResHouseType_1","ResHouseType_1","subclass","residence","Specifies the participant first residence history House Type",,,,,,,,,,,,,,,,,,,,
"GCS:ResDuration_2","ResDuration_2","subclass","residence","Specifies the participant second residence history Duration",,,,,,,,,,,,,,,,,,,,
"GCS:ResCitVill_2","ResCitVill_2","subclass","residence","Specifies the participant second residence history in Village or City",,,,,,,,,,,,,,,,,,,,
"GCS:ResDistrict_2","ResDistrict_2","subclass","residence","Specifies the participant second residence history District",,,,,,,,,,,,,,,,,,,,
"GCS:ResCitVillname_2","ResCitVillname_2","subclass","residence","Specifies the participant second residence history City or village name",,,,,,,,,,,,,,,,,,,,
"GCS:ResHouseType_2","ResHouseType_2","subclass","residence","Specifies the participant second residence history House Type",,,,,,,,,,,,,,,,,,,,
"GCS:ResDuration_3","ResDuration_3","subclass","residence","Specifies the participant third residence history Duration",,,,,,,,,,,,,,,,,,,,
"GCS:ResCitVill_3","ResCitVill_3","subclass","residence","Specifies the participant third residence history in Village or City",,,,,,,,,,,,,,,,,,,,
"GCS:ResDistrict_3","ResDistrict_3","subclass","residence","Specifies the participant third residence history District",,,,,,,,,,,,,,,,,,,,
"GCS:ResCitVillname_3","ResCitVillname_3","subclass","residence","Specifies the participant third residence history City or village name",,,,,,,,,,,,,,,,,,,,
"GCS:ResHouseType_3","ResHouseType_3","subclass","residence","Specifies the participant third residence history House Type",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatSource","FoodWatSource",,,"Specifies participant used water source",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatYearsPipe","FoodWatYearsPipe",,,"Specifies how many years participant used pipe water",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatPriorPipeSource","FoodWatPriorPipeSource",,,"Specifies what water source participant used prior to pipe water",,,,,,,,,,,,,,,,,,,,
"GCS:HeatAndFuelDuration_1","HeatAndFuelDuration_1",,,"Specifies the duration the participant Used Heating or Fuel system, first history",,,,,,,,,,,,,,,,,,,,
"GCS:HeatingSystemType_1","HeatingSystemType_1",,,"Specifies the participant Used Heating Type, first history",,,,,,,,,,,,,,,,,,,,
"GCS:HeatMethod_1","HeatMethod_1",,,"Specifies the participant Used Heating Type of fuel, first history",,,,,,,,,,,,,,,,,,,,
"GCS:CookingMethod_1","CookingMethod_1",,,"Specifies the participant Used Cooking Type of fuel, first history",,,,,,,,,,,,,,,,,,,,
"GCS:HeatAndFuelDuration_2","HeatAndFuelDuration_2",,,"Specifies the duration the participant Used Heating or Fuel system, second history",,,,,,,,,,,,,,,,,,,,
"GCS:HeatingSystemType_2","HeatingSystemType_2",,,"Specifies the participant Used Heating Type, second history",,,,,,,,,,,,,,,,,,,,
"GCS:HeatMethod_2","HeatMethod_2",,,"Specifies the participant Used Heating Type of fuel, second history",,,,,,,,,,,,,,,,,,,,
"GCS:CookingMethod_2","CookingMethod_2",,,"Specifies the participant Used Cooking Type of fuel, second history",,,,,,,,,,,,,,,,,,,,
"GCS:HeatAndFuelDuration_3","HeatAndFuelDuration_3",,,"Specifies the duration participant Used Heating or Fuel system, third history",,,,,,,,,,,,,,,,,,,,
"GCS:HeatingSystemType_3","HeatingSystemType_3",,,"Specifies the participant Used Heating Type, third history",,,,,,,,,,,,,,,,,,,,
"GCS:HeatMethod_3","HeatMethod_3",,,"Specifies the participant Used Heating Type of fuel, third history",,,,,,,,,,,,,,,,,,,,
"GCS:CookingMethod_3","CookingMethod_3",,,"Specifies the participant Used Cooking Type of fuel, third history",,,,,,,,,,,,,,,,,,,,
"GCS:WorkEverWorkedFlag","WorkEverWorkedFlag","subclass","occupation","Working for at least one year of full-time job",,,,,,,,,,,,,,,,,,,,
"GCS:WorkAgeBegan","WorkAgeBegan","subclass","occupation","Specifies participant start work age",,,,,,,,,,,,,,,,,,,,
"GCS:WorkCurrently","WorkCurrently","subclass","occupation","Specifies participant work now",,,,,,,,,,,,,,,,,,,,
"GCS:JobsStartAge","JobsStartAge","subclass","occupation","Age of starting the job for last history",,,,,,,,,,,,,,,,,,,,
"GCS:JobsEndAge","JobsEndAge","subclass","occupation","Age of quiting the job for last history",,,,,,,,,,,,,,,,,,,,
"GCS:JobsTitleOccupation","JobsTitleOccupation","subclass","occupation","Name of the job",,,,,,,,,,,,,,,,,,,,
"GCS:JobsTitleOccupationCode","JobsTitleOccupationCode","subclass","occupation","Code of the job (Appendix)",,,,,,,,,,,,,,,,,,,,
"GCS:JobsHoursPerDay","JobsHoursPerDay","subclass","occupation","Number of working hours per day",,,,,,,,,,,,,,,,,,,,
"GCS:JobsIntensity","JobsIntensity","subclass","occupation","The intensity of physical activity during the job",,,,,,,,,,,,,,,,,,,,
"GCS:JobMonthPerYear","JobMonthPerYear","subclass","occupation","Number of working months per year",,,,,,,,,,,,,,,,,,,,
"GCS:HusbandOccupation","HusbandOccupation",,,"Code of the husband job (Appendix)","maybe family?",,,,,,,,,,,,,,,,,,,
"GCS:FoodWatFoodPreserve","FoodWatFoodPreserve",,,"Specifies How to Preserve foods","is this lifestyle or diet?",,,,,,,,,,,,,,,,,,,
"GCS:FoodWatBreadPreserve","FoodWatBreadPreserve",,,"Specifies How to Preserve bread",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatShallowFryVeg","FoodWatShallowFryVeg",,,"Specifies Using vegetable in Small frying",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatShallowFryMeat","FoodWatShallowFryMeat",,,"Specifies Using Meat in Small frying",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatShallowFryFish","FoodWatShallowFryFish",,,"Specifies Using Fish in Small frying",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatDeepFryVeg","FoodWatDeepFryVeg",,,"Specifies Using vegetable in Deep frying",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatDeepFryMeat","FoodWatDeepFryMeat",,,"Specifies Using Meat in Deep frying",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatDeepFryFish","FoodWatDeepFryFish",,,"Specifies Using Fish in Deep frying",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatBBQVeg","FoodWatBBQVeg",,,"Specifies Using vegetable in BBQ",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatBBQMeat","FoodWatBBQMeat",,,"Specifies Using Meat in BBQ",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatBBQFish","FoodWatBBQFish",,,"Specifies Using Fish in BBQ",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatBoilVeg","FoodWatBoilVeg",,,"Specifies Using vegetable Boiling",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatBoilMeat","FoodWatBoilMeat",,,"Specifies Using Meat Boiling",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatBoilFish","FoodWatBoilFish",,,"Specifies Using Fish Boiling",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatSteamVeg","FoodWatSteamVeg",,,"Specifies Using vegetable Steaming",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatSteamMeat","FoodWatSteamMeat",,,"Specifies Using Meat Steaming",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatSteamFish","FoodWatSteamFish",,,"Specifies Using Fish Steaming",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatOthVeg","FoodWatOthVeg",,,"Specifies Using vegetable by any Other method",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatOthMeat","FoodWatOthMeat",,,"Specifies Using Meat by any Other method",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatOthFish","FoodWatOthFish",,,"Specifies Using Fish in by any Other method",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatFreshLocalFruitChange","FoodWatFreshLocalFruitChange",,,"Specifies the change in using Local Fruit from 1353",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatFreshImportedFruitChange","FoodWatFreshImportedFruitChange",,,"Specifies the change in using Imported Fruit from 1353",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatFreshVegChange","FoodWatFreshVegChange",,,"Specifies the change in using Fresh Vegetable from 1353",,,,,,,,,,,,,,,,,,,,
"GCS:FoodWatFreshMeatChange","FoodWatFreshMeatChange",,,"Specifies the change in using Fresh Meat from 1353",,,,,,,,,,,,,,,,,,,,
"GCS:Homeownership","Homeownership",,,"Specifies participant Homeownership status","is this lifestyle or sociodemographic? this is all talking about wealth",,,,,,,,,,,,,,,,,,,
"GCS:house_nonowned","house_nonowned",,,"Specifies house owned or non-owned",,,,,,,,,,,,,,,,,,,,
"GCS:HomeSize","HomeSize",,,"Specifies participant Home Area","residence?",,,,,,,,,,,,,,,,,,,
"GCS:PropertyAutoOwned","PropertyAutoOwned",,,"If the participant has personal car select yes if no select no",,,,,,,,,,,,,,,,,,,,
"GCS:PropertyAutoYears","PropertyAutoYears",,,"Specifies the length of time that the participant has a personal car(Year)",,,,,,,,,,,,,,,,,,,,
"GCS:PropertyMotorcycleOwned","PropertyMotorcycleOwned",,,"If the participant has Motorcycle select yes if no select no",,,,,,,,,,,,,,,,,,,,
"GCS:PropertyMotorcycleYears","PropertyMotorcycleYears",,,"Specifies the length of time that the participant has Motorcycle(Year)",,,,,,,,,,,,,,,,,,,,
"GCS:PropertyColorTVOwned","PropertyColorTVOwned",,,"If the participant has Color TV select yes if no select no",,,,,,,,,,,,,,,,,,,,
"GCS:PropertyColorTVYears","PropertyColorTVYears",,,"Specifies the length of time that the participant has Color TV(Year)",,,,,,,,,,,,,,,,,,,,
"GCS:PropertyBandWTVOwned","PropertyBandWTVOwned",,,"If the participant has BandW TV select yes if no select no",,,,,,,,,,,,,,,,,,,,
"GCS:PropertyBandWTVYears","PropertyBandWTVYears",,,"Specifies the length of time that the participant has BandW TV(Year)",,,,,,,,,,,,,,,,,,,,
"GCS:PropertyIndoorBathOwned","PropertyIndoorBathOwned",,,"If the participant has Indoor Bath room select yes if no select no",,,,,,,,,,,,,,,,,,,,
"GCS:PropertyIndoorBathYears","PropertyIndoorBathYears",,,"Specifies the length of time that the participant has Indoor Bath room(Year)",,,,,,,,,,,,,,,,,,,,
