Field Label	Class Type	GECKO Label	GECKO Comment																			
LABEL	CLASS_TYPE	C % SPLIT=|	A comment																			
Core Variables		KoGES																				
Core Questionnaires	equivalent	questionnaire/survey data																				
Socio-demographic data	equivalent	socio-demographic and economic characteristics																				
Education level	equivalent	education																				
Marital status	equivalent	marital status value																				
Household income	equivalent	household income value																				
Occupation	equivalent	occupation																				
Medical history	equivalent	clinical history																				
Disease history of hypertension, diabetes, hyperlipidemia, stroke, angina/myocardial infraction, cancer, etc.	equivalent	diseases																				
Previous diagnosis (Disease history)	subclass	diseases																				
Age at first diagnosis (Disease history)	subclass	diseases																				
Treatment progress (current treatment)	subclass	medication																				
Treatment method (hypertension, diabetes, hyperlipidemia only)	subclass	medication																				
Surgery (operation) history	subclass	surgical interventions																				
Previous surgery (operation)	subclass	surgical interventions																				
Age at first surgery	subclass	surgical interventions																				
Family disease history	subclass	family clinical history																				
Previous diagnosis (Family disease history)	subclass	family clinical history																				
Relationship	subclass	family clinical history																				
Age at first diagnosis (Family disease history)	subclass	family clinical history																				
Number of siblings and children	subclass	family and household structure																				
Lifestyle	equivalent	lifestyle and behaviours																				
Smoking habits	equivalent	tobacco																				
Amount of ciagrettes	subclass	tobacco																				
Total period of smoking	subclass	tobacco																				
Age at first smoking	subclass	tobacco																				
Secondhand smoking	equivalent	exposure to second hand smoke																				
Drinking habits	equivalent	alcohol consumption history																				
Amount of drinking	subclass	alcohol consumption history																				
Total period of drinking	subclass	alcohol consumption history																				
Drinking frequency	subclass	alcohol consumption history																				
Sleeping pattern	subclass	sleep																				
Hours of sleep	subclass	sleep																				
Time go to bed and wake up in the morning	subclass	sleep																				
Trouble of sleeping	subclass	sleep																				
Snoring	equivalent	snoring value																				
Physical activity	equivalent	physical activity history																				
Regular physical activity	subclass	physical activity history																				
Excercises	subclass	physical activity history																				
Household chores	subclass	physical activity history																				
Climbing stairs	subclass	physical activity history																				
Womens health		KoGES																				
Menstrual factors	subclass	menstrual cycle history																				
Age at menarche	subclass	menstrual cycle history																				
Length of menstrual cycle	subclass	menstrual cycle history																				
Menopause status	equivalent	menopausal status																				
Reproductive history	equivalent	pregnancy history																				
Number of pregnancies	subclass	pregnancy history																				
Age at each pregnancy	subclass	pregnancy history																				
Durations and outcome of pregnancies	subclass	pregnancy history																				
Breastfeeding	equivalent	breastfeeding value																				
Infertility	equivalent	diagnosis of infertility																				
Dietary survey	equivalent	information about diet																				
Food Frequency Questionnaire	equivalent	Food Frequency Questionnaire result																				
Dietary habits	subclass	information about diet																				
Anthropometric measurements	equivalent	anthropometry																				
Height & weight	equivalent	height|weight																				
Waist & hip circumference	equivalent	waist circumference value|hip circumference value																				
Body composition	subclass	anthropometry																				
Blood pressure & pulse rate	equivalent	blood pressure measurement value|pulse value																				
Core Clinical examination		KoGES																				
Core Blood test	equivalent	blood measurement value																				
Complete blood cell count	equivalent	complete blood cell count value																				
Glucose (fasting)	equivalent	blood fasting glucose level value	not fasting specified																			
Albumin	equivalent	urine albumin excretion rate value	not sure if the excretion rate assay is the correct match, but this is the only thing I could find																			
Blood urea nitrogen (BUN)	equivalent	blood urea nitrogen level value																				
Creatinine (Blood)	equivalent	blood creatinine level value																				
AST (SGOT)	equivalent	blood aspartate aminotransferase activity level value																				
ALT (SGPT)	equivalent	blood alanine aminotransferase activity level value																				
y-GTP	equivalent	blood gamma-glutamyltransferase activity level value																				
Total cholesterol	equivalent	blood total cholesterol level value																				
HDL-Cholesterol	equivalent	blood high density lipoprotein cholesterol level value																				
Triglyceride	equivalent	blood lipoprotein triglyceride level value																				
Core Urine test	equivalent	urine measurement value																				
pH	equivalent	urine pH value																				
Protein	equivalent	urine total protein level value																				
Glucose	equivalent	urine glucose level value																				
Blood	equivalent	blood presence in urine value																				
Substudy Variables		KoGES																				
Substudy Questionnaires	equivalent	questionnaire/survey data																				
Psychosocial well-being status (PWI)	subclass	wellbeing measurement result																				
Depression (CES-D, BDI)	subclass	diagnosis of depression	not the exact tests																			
24 hour recall dietary survey	subclass	information about diet																				
Sleep disorder	equivalent	diagnosis of sleep disorder																				
In-depth questionnaire (By disease)	equivalent	diseases																				
Respiratory disease	equivalent	respiratory system																				
Gastroenterologic disorder	equivalent	diagnosis of gastrointestinal system disease																				
Otorhinolaryngologic disorder (Ear, Nose)	equivalent	diagnosis of nose disease|diagnosis of auditory system disease																				
Arthritis	equivalent	diagnosis of arthritis																				
Aging study		KoGES																				
Aging study Questionnaires	subclass	questionnaire/survey data																				
Health-related quality of life (WHOQOL, EQ-SD, SF-12)	subclass	quality of life survey result																				
Activities of daily living (K-ADL, S-IADL)	subclass	activity of daily living survey result																				
Dementia screening (K-MMSE, K-MoCA)	subclass	diagnosis of dementia																				
Dementia screening by caregiver (CS-KGDS, KDSQ-C)	subclass	diagnosis of dementia	not by caregiver																			
Depression (GDS)	subclass	diagnosis of depression	not specific to aging studies																			
Vascular dementia / Alzheimers disease screening (Ischemia Scales)	equivalent	diagnosis of vascular dementia|diagnosis of Alzheimers disease																				
Aging study Clincial examination		KoGES																				
Cognitive Function test	equivalent	cognitive function measurement result																				
Neuropsychological test (SNSB-II)	subclass	neuropsychological test result																				
Physical performance test (SPPB, SFT)	subclass	physical performance testing result																				
Grip strength	equivalent	grip strength measurement value																				
Brain MRI	equivalent	brain MRI result																				
Substudy Clinical Examination		KoGES																				
Spirometry	equivalent	spirometry result																				
Bone strength (sonometer)	subclass	bone measurement value	CMO has a few different terms that measure strength, e.g. ultimate force & stifness, but no exact match																			
Bone mineral density (DEXA test)	equivalent	bone mineral density value																				
X-ray (chest, hand, knee, C-spin)	subclass	X-ray imaging result																				
Ultrasound carotid Intima Media Thickness (IMT)	equivalent	carotid artery intima media thickness value																				
Pulse Wave Velocity (PWV)	subclass	heart blood flow measurement value	Has different pulse wave measurements, but this is the parent class to all																			
Ecocardiography	equivalent	echocardiography result																				
Substudy Blood test	equivalent	blood measurement value																				
Glucose (1hr on OGTT)	subclass	blood glucose level value																				
Glucose (2hr on OGTT)	subclass	blood glucose level value																				
HbA1C	equivalent	blood hemoglobin A1c level value																				
Insulin	equivalent	blood insulin level value																				
Insulin(1hr)	subclass	blood insulin level value																				
Insulin(2hr)	subclass	blood insulin level value																				
Total Protein	subclass	blood protein measurement value	CMO has plasma and serum total protein measurements																			
Total Bilirubin	equivalent	blood bilirubin level value																				
LDL-Cholesterol	equivalent	blood low density lipoprotein cholesterol level value																				
hs-CRP	equivalent	blood C-reactive protein level value																				
Homocystein	equivalent	blood homocysteine level value																				
Uric acid	equivalent	blood uric acid level value																				
Fibrinogen	equivalent	blood fibrinogen level value																				
Alkaline phosphate	equivalent	blood alkaline phosphate activity level value																				
Folate	equivalent	blood folate level value																				
Adiponectin	equivalent	blood adiponectin level value																				
Glucagon	equivalent	blood glucagon level value																				
C-peptide	equivalent	blood C-peptide level value																				
Renin	equivalent	blood renin activity level value																				
Phosphate	equivalent	blood phosphate level value																				
Tropinin T	equivalent	blood troponin T level value																				
Apolipoprotein A	equivalent	blood apolipoprotein A level value																				
Apolipoprotein B	equivalent	blood apolipoprotein B level value	Typo in CMO label?																			
Sodium(Na) (Blood)	equivalent	blood sodium level value																				
Potassium(K) (Blood)	equivalent	blood potassium level value																				
Chloride(Cl)	equivalent	blood chloride level value																				
Neutrophil	equivalent	blood neutrophil count value																				
Lymphocyte	equivalent	blood lymphocyte count value																				
Monocyte	equivalent	blood monocyte count value																				
Eosinophil	equivalent	blood eosinophil count value																				
Basophil	equivalent	blood basophil count value																				
Red cell distribution width (RDW)	equivalent	red blood cell distribution width value																				
Mean platelet volume (MPV)	equivalent	mean platelet volume value																				
Platlet crit (PCT)	equivalent	plateletcrit value																				
Vitamin B12	equivalent	blood vitamin B12 level value	ChEBI stops at B vitamin, but FOODON has vitamin B12 - would that be better?																			
25-OH-Vitamin D	equivalent	blood calcidiol level value	I *think* this is the right ChEBI term																			
Thyroglobulin	equivalent	blood thyroglobulin level value																				
Ferritin	equivalent	blood ferritin level value																				
UIBC	equivalent	unsaturated iron binding capacity measurement value																				
Oxidized LDL	subclass	blood low density lipoprotein cholesterol level value	not oxidized																			
8-OHdG	equivalent	blood 8-OHdG level value																				
Calcium(Ca) (Blood)	equivalent	blood calcium level value																				
Free T3	equivalent	blood triiodothyronine level value																				
Free T4	equivalent	blood thyroxine level value																				
TSH	equivalent	blood thyroid stimulating hormone level value																				
Anti-microsomal Ab	equivalent	thyroid peroxidase antibody measurement value																				
RF	equivalent	rheumatoid factor measurement value																				
Osteocalcin	equivalent	blood osteocalcin level value																				
C-telopeptide	equivalent	blood type I collagen C-terminal telopeptide level value																				
Vitamin D	equivalent	blood vitamin D level value																				
Estradiol	equivalent	blood estradiol level value																				
Cadmium(Cd)	equivalent	blood cadmium level value																				
Lead(Pb)	equivalent	blood lead level value	OK to use lead atom?																			
Aluminum(Al)	equivalent	blood aluminum level value	atom or ion?																			
Zinc(Zn)	equivalent	blood zinc level value	OK to use atom?																			
Blood type	equivalent	blood type determination value																				
Hepatitis B antibody	equivalent	Hepatits B antibody measurement value																				
Hepatitis C antibody	equivalent	Hepatits C antibody measurement value																				
Hepatitis A antibody (HAV)	equivalent	Hepatits A antibody measurement value																				
HPV(Human Papillomavirus)	subclass	blood measurement value	there's no such thing as an HPV blood test?																			
Helicobacter pylori	equivalent	Helicobacter pylori antibody measurement value																				
Carcinoembryonic antigen (CEA)	equivalent	carcinoembryonic antigen measurement value																				
Cancer antigen 125 (CA125)	equivalent	cancer antigen 125 measurement value																				
DHEA-S	equivalent	blood dehydroepiandrosterone sulfate level value																				
IGF-1	equivalent	blood insulin-like growth factor I level value																				
Testosterone	equivalent	blood testosterone level value																				
Luteinizing hormone (LH)	equivalent	blood lutenizing hormone level value																				
Follicle Stimulation Hormone (FSH)	equivalent	blood follicle stimulating hormone level value																				
Prostate Specific Antigen (PSA)	equivalent	blood prostate-specific antigen level value																				
Lactate Dehydrogenase (LDH)	equivalent	lactate dehydrogenase measurement value																				
Telomere length	equivalent	blood telomere length value																				
Apo E genotype	equivalent	blood apolipoprotein E level value	Not sure if this is quite right																			
Substudy Urine test	equivalent	urine measurement value																				
Ketone	equivalent	urine ketone body level value																				
Bilirubin	equivalent	urine bilirubin level value																				
Urobilinogen	equivalent	urine urobilinogen level value	NCIT does have a term for this - but have not used NCIT so far																			
Nitrite	equivalent	urine nitrite level value																				
Urinary specific gravity	equivalent	urine specific gravity value																				
Hematuria	equivalent	blood presence in urine value	No check for blood, though HP does have a term for 'blood in urine'. I think looking at the measurement is better here though																			
Color	equivalent	urine color value																				
R.B.C.	equivalent	urine erythrocyte level value	CMO only has RBC for blood samples																			
W.B.C.	equivalent	urine leukocyte level value	CMO only has WBC for blood samples																			
E.P. cells	equivalent	urine epithelial cell level value																				
Casts	equivalent	urine cast level value																				
Bacteria	equivalent	urine bacteria count value	No check for bacteria, though HP does have a term for 'bacteria in urine'. I think looking at the measurement is better here though																			
Crystals	equivalent	presence of crystals in urine value																				
Protein, total	equivalent	urine total protein level value																				
Creatinine (Urine)	equivalent	urine creatinine level value																				
Uric acid	equivalent	urine uric acid level value	CMO only has blood uric acid																			
Calcium (Urine)	equivalent	urine calcium level value																				
Sodium (Urine)	equivalent	urine sodium level value																				
Potassium (Urine)	equivalent	urine potassium level value																				
Vitamin C	equivalent	urine vitamin C level value	no CMO term for vit C levels in urine																			
Microalbumin	equivalent	urine albumin excretion rate value	not sure if the excretion rate assay is the correct match, but this is the only thing I could find																			
