ID	Label	Mapping Type	GECKO Mapping	Parent	Comment
ID	LABEL	CLASS_TYPE	C % SPLIT=|		A comment
MAELSTROM:Administrative_information	Administrative information	equivalent	survey administration		
MAELSTROM:Identifiers	Identifiers	equivalent	unique identifiers	MAELSTROM:Administrative_information	
MAELSTROM:Date_time_related_info	Date and time-related information	equivalent	date and time-related information	MAELSTROM:Administrative_information	
MAELSTROM:Questionnaire_interview_related_info	Questionnaire and interview-related information	subclass	survey administration	MAELSTROM:Administrative_information	
MAELSTROM:Physical_measure_biosamp_related_info	Physical and cognitive measure and biosample-related information	subclass	survey administration	MAELSTROM:Administrative_information	
MAELSTROM:Data_sample_center	Data and sample collection center-related information	subclass	survey administration	MAELSTROM:Administrative_information	
MAELSTROM:Other_admin_info	Other administrative information	subclass	survey administration	MAELSTROM:Administrative_information	
MAELSTROM:Cognitive_psychological_measures	Cognition, personality and psychological measures and assessments		Maelstrom		No mapping in CINECA
MAELSTROM:Cognitive_functioning	Cognitive functioning			MAELSTROM:Cognitive_psychological_measures	
MAELSTROM:Personality	Personality			MAELSTROM:Cognitive_psychological_measures	
MAELSTROM:Psychological_emotional_distress	Psychological distress and emotions			MAELSTROM:Cognitive_psychological_measures	
MAELSTROM:Other_psycholog_measures	Other psychological measures and assessments			MAELSTROM:Cognitive_psychological_measures	
MAELSTROM:Diseases	Diseases	equivalent	diseases		
MAELSTROM:Infectious_dis	Certain infectious and parasitic diseases (A00-B99)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Neoplasms	Neoplasms (C00-D48)	equivalent	oncological	MAELSTROM:Diseases	maybe not equiv because this could include non-cancerous
MAELSTROM:Blood_immune_dis	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)	equivalent	blood-related disorders	MAELSTROM:Diseases	maybe not equiv because this includes immune disorders
MAELSTROM:Endocrine_metabolic_dis	Endocrine, nutritional and metabolic diseases (E00-E90)	equivalent	endocrine/nutritional/metabolic disorders	MAELSTROM:Diseases	
MAELSTROM:Mental_behav_dis	Mental and behavioural disorders (F00-F99)	equivalent	mental and behaviour disorders	MAELSTROM:Diseases	
MAELSTROM:Nervous_sys_dis	Diseases of the nervous system (G00-G99)	equivalent	nervous system	MAELSTROM:Diseases	
MAELSTROM:Eye_adnexa_dis	Diseases of the eye and adnexa (H00-H59)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Ear_mastoid_dis	Diseases of the ear and mastoid process (H60-H95)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Circulatory_sys_dis	Diseases of the circulatory system (I00-I99)	equivalent	circulatory system	MAELSTROM:Diseases	
MAELSTROM:Respiratory_sys_dis	Diseases of the respiratory system (J00-J99)	equivalent	respiratory system	MAELSTROM:Diseases	
MAELSTROM:Digestive_sys_dis	Diseases of the digestive system (K00-K93)	equivalent	digestive system	MAELSTROM:Diseases	
MAELSTROM:Skin_subcutaneous_dis	Diseases of the skin and subcutaneous tissue (L00-L99)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Musculoskeletal_sys_dis	Diseases of the musculoskeletal system and connective tissue (M00-M99)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Genitourinary_sys_dis	Diseases of the genitourinary system (N00-N99)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Pregnancy_childbirth	Pregnancy, childbirth and the puerperium (O00-O9A)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Perinatal_cond	Certain conditions originating in the perinatal period (P00-P96)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Cong_malform_chrom_abnor	Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Injury_poisoning	Injury, poisoning and certain other consequences of external causes (S00-T98)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Morbidity_mortality_ext	External causes of morbidity and mortality (V01-Y98)	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:Other_dis	Diseases without precise specification or falling into multiple categories	subclass	diseases	MAELSTROM:Diseases	
MAELSTROM:End_of_life	Death		Maelstrom		No mapping in CINECA
MAELSTROM:Life_status	Vital status			MAELSTROM:End_of_life	
MAELSTROM:Cause_death	Cause of death			MAELSTROM:End_of_life	
MAELSTROM:Other_death	Other end of life or death-related information			MAELSTROM:End_of_life	
MAELSTROM:Health_community_care_utilization	Health and community care services utilization		Maelstrom		No mapping in CINECA. This is distinct from 'physician/practitioner info', though that may be a subclass of this
MAELSTROM:Visit_health_prof	Visits to health professionals			MAELSTROM:Health_community_care_utilization	
MAELSTROM:Hospitalizations	Hospitalizations			MAELSTROM:Health_community_care_utilization	
MAELSTROM:Community_care	Community and social care			MAELSTROM:Health_community_care_utilization	
MAELSTROM:Other_health_and_community_care	Other health and community care			MAELSTROM:Health_community_care_utilization	
MAELSTROM:Health_status_functional_limitations	Perception of health, quality of life, development and functional limitations		Maelstrom		No mapping in CINECA
MAELSTROM:Perc_health	Perception of health			MAELSTROM:Health_status_functional_limitations	
MAELSTROM:Qual_life	Quality of life			MAELSTROM:Health_status_functional_limitations	
MAELSTROM:Life_dev	Life course development (under development)			MAELSTROM:Health_status_functional_limitations	
MAELSTROM:Act_daily_living	Functional limitations			MAELSTROM:Health_status_functional_limitations	
MAELSTROM:Use_devices	Use of assistive devices			MAELSTROM:Health_status_functional_limitations	
MAELSTROM:Other	Other perception of health, quality of life and functional limitation-related information			MAELSTROM:Health_status_functional_limitations	
MAELSTROM:Laboratory_measures	Laboratory measures	equivalent	laboratory measures		this may not be equiv because this seems to also cover biosamples, maybe this is lab + biosamples?
MAELSTROM:Hematology	Hematology	subclass	laboratory measures	MAELSTROM:Laboratory_measures	maybe blood but that's not under lab measure (its under biosample and we still want to collect data about types of biosamples)
MAELSTROM:Biochemistry	Biochemistry	subclass	laboratory measures	MAELSTROM:Laboratory_measures	see above
MAELSTROM:Microbiology	Microbiology	equivalent	microbiology	MAELSTROM:Laboratory_measures	
MAELSTROM:Virology	Virology	subclass	laboratory measures	MAELSTROM:Laboratory_measures	
MAELSTROM:Immunology	Immunology	subclass	laboratory measures	MAELSTROM:Laboratory_measures	
MAELSTROM:Toxicology	Toxicology	subclass	laboratory measures	MAELSTROM:Laboratory_measures	
MAELSTROM:Histology	Histology	subclass	laboratory measures	MAELSTROM:Laboratory_measures	
MAELSTROM:Genomics	Genomics	equivalent	genomics	MAELSTROM:Laboratory_measures	
MAELSTROM:Other_lab_measures	Other laboratory measures	subclass	laboratory measures	MAELSTROM:Laboratory_measures	
MAELSTROM:Life_events_plans_beliefs	Life events, life plans, beliefs and values		Maelstrom		No mapping in CINECA
MAELSTROM:Life_events	Life events			MAELSTROM:Life_events_plans_beliefs	
MAELSTROM:Life_plans	Life plans			MAELSTROM:Life_events_plans_beliefs	
MAELSTROM:Beliefs_values	Beliefs and values (under development)			MAELSTROM:Life_events_plans_beliefs	
MAELSTROM:Other_life_events	Other life events, plans and beliefs (under development)			MAELSTROM:Life_events_plans_beliefs	
MAELSTROM:Lifestyle_behaviours	Lifestyle and behaviours	equivalent	lifestyle and behaviours		
MAELSTROM:Tobacco	Tobacco	equivalent	tobacco	MAELSTROM:Lifestyle_behaviours	
MAELSTROM:Alcohol	Alcohol	equivalent	alcohol	MAELSTROM:Lifestyle_behaviours	
MAELSTROM:Drugs	Drugs	subclass	lifestyle and behaviours	MAELSTROM:Lifestyle_behaviours	
MAELSTROM:Nutrition	Nutrition	equivalent	nutrition	MAELSTROM:Lifestyle_behaviours	
MAELSTROM:Breastfeeding	Breastfeeding	subclass	lifestyle and behaviours	MAELSTROM:Lifestyle_behaviours	
MAELSTROM:Phys_act	Physical activity	equivalent	physical activity	MAELSTROM:Lifestyle_behaviours	
MAELSTROM:Transportation	Transportation	subclass	lifestyle and behaviours	MAELSTROM:Lifestyle_behaviours	
MAELSTROM:Pers_hygiene	Personal hygiene	subclass	lifestyle and behaviours	MAELSTROM:Lifestyle_behaviours	
MAELSTROM:Sleep	Sleep	equivalent	sleep	MAELSTROM:Lifestyle_behaviours	
MAELSTROM:Sex_behav	Sexual behaviours and orientation	subclass	lifestyle and behaviours	MAELSTROM:Lifestyle_behaviours	
MAELSTROM:Leisure_act	Leisure activities	subclass	lifestyle and behaviours	MAELSTROM:Lifestyle_behaviours	
MAELSTROM:Tech_devices	Technological devices	subclass	lifestyle and behaviours	MAELSTROM:Lifestyle_behaviours	
MAELSTROM:Misbehav_crim	Misbehaviour and criminality	subclass	lifestyle and behaviours	MAELSTROM:Lifestyle_behaviours	
MAELSTROM:Other_lifestyle	Other and unspecified lifestyle information	subclass	lifestyle and behaviours	MAELSTROM:Lifestyle_behaviours	
MAELSTROM:Medication_supplements	Medication and supplements	equivalent	medication		
MAELSTROM:Medication_suppl	Medication and supplement intake	equivalent	associated disease(s)	MAELSTROM:Medication_supplements	I'm assuming CINECA associated diseases is talking about taking meds for a disease
MAELSTROM:Posology_protocol	Posology and protocol of administration	equivalent	posology|administration method	MAELSTROM:Medication_supplements	CINECA posology and CINECA 'admin method' should be children of this
MAELSTROM:Other_pharmacological_inter	Other and unspecified pharmacological interventions	subclass	medication	MAELSTROM:Medication_supplements	
MAELSTROM:Non_pharmacological_interventions	Non-pharmacological interventions	equivalent	non-pharmacological interventions		
MAELSTROM:Surgical_inter	Surgical interventions	equivalent	surgical interventions	MAELSTROM:Non_pharmacological_interventions	
MAELSTROM:Radiological_inter	Radiological interventions	subclass	non-pharmacological interventions	MAELSTROM:Non_pharmacological_interventions	
MAELSTROM:Physical_inter	Physical therapy interventions	subclass	non-pharmacological interventions	MAELSTROM:Non_pharmacological_interventions	
MAELSTROM:Cognitive_psycho_sensory_inter	Cognitive, psychological and sensory interventions	subclass	non-pharmacological interventions	MAELSTROM:Non_pharmacological_interventions	
MAELSTROM:Educational_inter	Educational and health promotion interventions	subclass	non-pharmacological interventions	MAELSTROM:Non_pharmacological_interventions	
MAELSTROM:Biosample_analyses	Laboratory diagnosis interventions	subclass	non-pharmacological interventions	MAELSTROM:Non_pharmacological_interventions	
MAELSTROM:Other_non_pharmacological_inter	Other and unspecified non-pharmacological interventions	subclass	non-pharmacological interventions	MAELSTROM:Non_pharmacological_interventions	
MAELSTROM:Physical_environment	Physical environment		Maelstrom		No mapping in CINECA
MAELSTROM:Housing	Housing characteristics			MAELSTROM:Physical_environment	
MAELSTROM:Neighborhood	Built environment/neighbourhood characteristics			MAELSTROM:Physical_environment	
MAELSTROM:Workplace	Workplace characteristics			MAELSTROM:Physical_environment	
MAELSTROM:Radiation_exp	Radiation exposure			MAELSTROM:Physical_environment	
MAELSTROM:Chemical_exp	Chemical exposure			MAELSTROM:Physical_environment	
MAELSTROM:Biological_exp	Biological exposure			MAELSTROM:Physical_environment	
MAELSTROM:Other_environment	Other physical environment characteristics			MAELSTROM:Physical_environment	
MAELSTROM:Physical_measures	Physical measures and assessments	equivalent	physiological measurements		
MAELSTROM:Reproduction	Reproduction	subclass	physiological measurements	MAELSTROM:Physical_measures	
MAELSTROM:Menstr_menop_andropause	Puberty, menstruation, menopause and andropause			MAELSTROM:Reproduction	will adopt subclass from Reproduction
MAELSTROM:Contraception	Contraception			MAELSTROM:Reproduction	will adopt subclass from Reproduction
MAELSTROM:Pregnancy_delivery	Pregnancy, delivery and birth			MAELSTROM:Reproduction	will adopt subclass from Reproduction
MAELSTROM:Reprod_sexual_problems	Fertility and sexual health			MAELSTROM:Reproduction	will adopt subclass from Reproduction
MAELSTROM:Other_reproductive	Other reproductive health-related information			MAELSTROM:Reproduction	will adopt subclass from Reproduction
MAELSTROM:Physical_characteristics	Physical characteristics	subclass	physiological measurements	MAELSTROM:Physical_measures	
MAELSTROM:Anthropo_measures	Anthropometry	equivalent	anthropometry	MAELSTROM:Physical_measures	
MAELSTROM:Circulation_respiration	Circulation and respiration		circulation and respiration	MAELSTROM:Physical_measures	
MAELSTROM:Muscles_skeleton_mobility	Muscles, skeleton and mobility	subclass	physiological measurements	MAELSTROM:Physical_measures	
MAELSTROM:Sensory_pain	Sensory and pain	subclass	physiological measurements	MAELSTROM:Physical_measures	
MAELSTROM:Brain_nerves	Brain and nerves	subclass	physiological measurements	MAELSTROM:Physical_measures	
MAELSTROM:Skin_subcutaneous	Skin and subcutaneous tissue	subclass	physiological measurements	MAELSTROM:Physical_measures	
MAELSTROM:Speech_voice	Speech and voice	subclass	physiological measurements	MAELSTROM:Physical_measures	
MAELSTROM:Digestion	Digestion	subclass	physiological measurements	MAELSTROM:Physical_measures	
MAELSTROM:Other_phys_measures	Other physical measures and assessments	subclass	physiological measurements	MAELSTROM:Physical_measures	
MAELSTROM:Preschool_school_work	Preschool, school and work life		Maelstrom		No mapping in CINECA
MAELSTROM:Preschool	Preschool life			MAELSTROM:Preschool_school_work	
MAELSTROM:School	School life			MAELSTROM:Preschool_school_work	
MAELSTROM:Work	Work life			MAELSTROM:Preschool_school_work	
MAELSTROM:Other_school_work	Other preschool, school or work life-related information			MAELSTROM:Preschool_school_work	
MAELSTROM:Social_environment	Social environment and relationships		Maelstrom		No mapping in CINECA
MAELSTROM:Soc_network	Social network			MAELSTROM:Social_environment	
MAELSTROM:Soc_participation	Social participation			MAELSTROM:Social_environment	
MAELSTROM:Soc_support	Social support			MAELSTROM:Social_environment	
MAELSTROM:Parenting	Parenting and familial environment			MAELSTROM:Social_environment	
MAELSTROM:Other_soc_characteristics	Other social environment characteristics			MAELSTROM:Social_environment	
MAELSTROM:Sociodemographic_economic_characteristics	Socio-demographic and economic characteristics	equivalent	socio-demographic and economic characteristics		
MAELSTROM:Age	Age/birthdate	equivalent	age/birthdate	MAELSTROM:Sociodemographic_economic_characteristics	
MAELSTROM:Sex	Sex/gender	equivalent	gender|biological sex	MAELSTROM:Sociodemographic_economic_characteristics	gender and biological sex should be children
MAELSTROM:Twin	Twin	subclass	socio-demographic and economic characteristics	MAELSTROM:Sociodemographic_economic_characteristics	
MAELSTROM:Marital_status	Marital/partner status	subclass	socio-demographic and economic characteristics	MAELSTROM:Sociodemographic_economic_characteristics	
MAELSTROM:Family_hh_struct	Family and household structure	equivalent	family and household structure	MAELSTROM:Sociodemographic_economic_characteristics	
MAELSTROM:Education	Education	equivalent	education	MAELSTROM:Sociodemographic_economic_characteristics	
MAELSTROM:Residence	Residence	equivalent	residence	MAELSTROM:Sociodemographic_economic_characteristics	
MAELSTROM:Birth_place	Birthplace	equivalent	birthplace	MAELSTROM:Sociodemographic_economic_characteristics	
MAELSTROM:Citizenship	Citizenship and immigrant status	subclass	socio-demographic and economic characteristics	MAELSTROM:Sociodemographic_economic_characteristics	
MAELSTROM:Ethnic_race_religion	Ethnicity, race and religion	equivalent	ethnicity/race	MAELSTROM:Sociodemographic_economic_characteristics	
MAELSTROM:Language	Language	subclass	socio-demographic and economic characteristics	MAELSTROM:Sociodemographic_economic_characteristics	
MAELSTROM:Labour_retirement	Labour force and retirement	subclass	socio-demographic and economic characteristics	MAELSTROM:Sociodemographic_economic_characteristics	
MAELSTROM:Income	Income, possessions, and benefits	subclass	socio-demographic and economic characteristics	MAELSTROM:Sociodemographic_economic_characteristics	
MAELSTROM:Other_sociodemogr_chars	Other socio-demographic and economic characteristics	subclass	socio-demographic and economic characteristics	MAELSTROM:Sociodemographic_economic_characteristics	
MAELSTROM:Symptoms_signs	Symptoms and signs	equivalent	signs and symptoms		
MAELSTROM:Circulatory_respiratory_sympt	Symptoms and signs involving the circulatory and respiratory systems (R00-R09)	subclass	signs and symptoms	MAELSTROM:Symptoms_signs	
MAELSTROM:Digestive_sympt	Symptoms and signs involving the digestive system and abdomen (R10-R19)	subclass	signs and symptoms	MAELSTROM:Symptoms_signs	
MAELSTROM:Skin_subcut_sympt	Symptoms and signs involving the skin and subcutaneous tissue (R20-R23)	subclass	signs and symptoms	MAELSTROM:Symptoms_signs	
MAELSTROM:Nervous_musculoskeletal_sympt	Symptoms and signs involving nervous and musculoskeletal systems (R25-R29)	subclass	signs and symptoms	MAELSTROM:Symptoms_signs	
MAELSTROM:Urinary_sympt	Symptoms and signs involving the urinary system (R30-R39)	subclass	signs and symptoms	MAELSTROM:Symptoms_signs	
MAELSTROM:Cognitive_perc_emotional_sympt	Symptoms and signs involving cognition, perception, emotional state and behaviour (R40-R46)	subclass	signs and symptoms	MAELSTROM:Symptoms_signs	
MAELSTROM:Speech_voice_sympt	Symptoms and signs involving speech and voice (R47-R49)	subclass	signs and symptoms	MAELSTROM:Symptoms_signs	
MAELSTROM:General_sympt	General symptoms and signs (R50-R69)	subclass	signs and symptoms	MAELSTROM:Symptoms_signs	
MAELSTROM:Other_sympt	Symptoms related to multiple categories	subclass	signs and symptoms	MAELSTROM:Symptoms_signs	
	Social environment and relationships		Maelstrom		No mapping in CINECA
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
